# BEGIN interval_us=1000 steps=247500 dir=1 micro=32 accbits=13 preroll=2000
step,adc
001431,04071
001432,04071
001433,04072
001434,04073
001435,04073
001436,04070
001437,04070
001438,04071
001439,04071
001440,04070
001441,04070
001442,04071
001443,04071
001444,04072
001445,04070
001446,04071
001447,04071
001448,04073
001449,04071
001450,04076
001451,04072
001452,04073
001453,04072
001454,04072
001455,04072
001456,04074
001457,04072
001458,04070
001459,04068
001460,04071
001461,04069
001462,04073
001463,04072
001464,04072
001465,04074
001466,04074
001467,04072
001468,04072
001469,04072
001470,04070
001471,04072
001472,04068
001473,04073
001474,04072
001475,04071
001476,04070
001477,04073
001478,04073
001479,04071
001480,04073
001481,04066
001482,04071
001483,04072
001484,04073
001485,04072
001486,04069
001487,04071
001488,04073
001489,04072
001490,04071
001491,04074
001492,04069
001493,04072
001494,04071
001495,04070
001496,04068
001497,04073
001498,04066
001499,04073
001500,04071
001501,04071
001502,04070
001503,04069
001504,04071
001505,04071
001506,04071
001507,04073
001508,04070
001509,04074
001510,04073
001511,04071
001512,04070
001513,04073
001514,04070
001515,04072
001516,04071
001517,04074
001518,04071
001519,04071
001520,04070
001521,04070
001522,04067
001523,04072
001524,04070
001525,04072
001526,04072
001527,04073
001528,04072
001529,04075
001530,04073
001531,04070
001532,04072
001533,04073
001534,04072
001535,04072
001536,04071
001537,04072
001538,04072
001539,04072
001540,04072
001541,04072
001542,04071
001543,04071
001544,04071
001545,04072
001546,04068
001547,04070
001548,04071
001549,04071
001550,04072
001551,04073
001552,04072
001553,04072
001554,04070
001555,04072
001556,04071
001557,04072
001558,04071
001559,04070
001560,04071
001561,04070
001562,04073
001563,04074
001564,04073
001565,04071
001566,04071
001567,04071
001568,04070
001569,04070
001570,04070
001571,04070
001572,04070
001573,04071
001574,04072
001575,04073
001576,04067
001577,04072
001578,04072
001579,04070
001580,04071
001581,04074
001582,04072
001583,04072
001584,04072
001585,04069
001586,04071
001587,04068
001588,04073
001589,04071
001590,04071
001591,04072
001592,04072
001593,04072
001594,04071
001595,04071
001596,04069
001597,04072
001598,04067
001599,04071
001600,04074
001601,04072
001602,04073
001603,04070
001604,04073
001605,04071
001606,04072
001607,04071
001608,04072
001609,04070
001610,04070
001611,04071
001612,04069
001613,04070
001614,04073
001615,04073
001616,04071
001617,04071
001618,04071
001619,04069
001620,04071
001621,04073
001622,04071
001623,04071
001624,04070
001625,04072
001626,04072
001627,04071
001628,04071
001629,04070
001630,04069
001631,04072
001632,04071
001633,04071
001634,04070
001635,04070
001636,04072
001637,04071
001638,04071
001639,04071
001640,04071
001641,04070
001642,04073
001643,04071
001644,04069
001645,04071
001646,04070
001647,04071
001648,04070
001649,04072
001650,04070
001651,04071
001652,04071
001653,04073
001654,04069
001655,04072
001656,04072
001657,04072
001658,04072
001659,04070
001660,04072
001661,04072
001662,04074
001663,04071
001664,04071
001665,04071
001666,04071
001667,04071
001668,04071
001669,04072
001670,04075
001671,04072
001672,04072
001673,04071
001674,04071
001675,04070
001676,04072
001677,04073
001678,04071
001679,04073
001680,04069
001681,04070
001682,04071
001683,04070
001684,04071
001685,04072
001686,04071
001687,04074
001688,04070
001689,04071
001690,04071
001691,04067
001692,04072
001693,04071
001694,04071
001695,04070
001696,04071
001697,04073
001698,04070
001699,04070
001700,04072
001701,04071
001702,04071
001703,04073
001704,04073
001705,04072
001706,04070
001707,04071
001708,04069
001709,04071
001710,04070
001711,04070
001712,04071
001713,04072
001714,04072
001715,04072
001716,04074
001717,04070
001718,04071
001719,04073
001720,04067
001721,04070
001722,04074
001723,04071
001724,04070
001725,04072
001726,04073
001727,04072
001728,04070
001729,04072
001730,04070
001731,04072
001732,04070
001733,04070
001734,04070
001735,04070
001736,04073
001737,04069
001738,04072
001739,04071
001740,04071
001741,04071
001742,04072
001743,04072
001744,04075
001745,04069
001746,04071
001747,04073
001748,04070
001749,04070
001750,04070
001751,04071
001752,04069
001753,04072
001754,04072
001755,04072
001756,04072
001757,04075
001758,04072
001759,04069
001760,04072
001761,04072
001762,04072
001763,04070
001764,04072
001765,04070
001766,04070
001767,04072
001768,04072
001769,04070
001770,04068
001771,04073
001772,04072
001773,04070
001774,04071
001775,04073
001776,04071
001777,04070
001778,04074
001779,04072
001780,04072
001781,04071
001782,04072
001783,04072
001784,04072
001785,04071
001786,04073
001787,04070
001788,04070
001789,04069
001790,04071
001791,04071
001792,04071
001793,04073
001794,04070
001795,04070
001796,04072
001797,04070
001798,04071
001799,04071
001800,04072
001801,04070
001802,04072
001803,04073
001804,04072
001805,04069
001806,04072
001807,04069
001808,04071
001809,04070
001810,04074
001811,04071
001812,04070
001813,04072
001814,04072
001815,04073
001816,04072
001817,04072
001818,04072
001819,04070
001820,04072
001821,04070
001822,04073
001823,04072
001824,04072
001825,04071
001826,04071
001827,04071
001828,04070
001829,04071
001830,04070
001831,04071
001832,04071
001833,04071
001834,04071
001835,04070
001836,04072
001837,04073
001838,04071
001839,04070
001840,04072
001841,04070
001842,04070
001843,04070
001844,04071
001845,04071
001846,04071
001847,04071
001848,04071
001849,04072
001850,04070
001851,04070
001852,04071
001853,04073
001854,04070
001855,04072
001856,04071
001857,04070
001858,04074
001859,04072
001860,04072
001861,04073
001862,04072
001863,04069
001864,04070
001865,04070
001866,04072
001867,04065
001868,04070
001869,04070
001870,04069
001871,04072
001872,04073
001873,04071
001874,04071
001875,04070
001876,04072
001877,04070
001878,04071
001879,04069
001880,04071
001881,04071
001882,04074
001883,04071
001884,04073
001885,04071
001886,04071
001887,04071
001888,04068
001889,04071
001890,04070
001891,04070
001892,04070
001893,04073
001894,04069
001895,04067
001896,04074
001897,04070
001898,04072
001899,04070
001900,04071
001901,04072
001902,04072
001903,04070
001904,04071
001905,04072
001906,04070
001907,04071
001908,04071
001909,04071
001910,04071
001911,04070
001912,04070
001913,04071
001914,04071
001915,04070
001916,04071
001917,04072
001918,04071
001919,04071
001920,04073
001921,04074
001922,04070
001923,04073
001924,04072
001925,04070
001926,04072
001927,04070
001928,04070
001929,04072
001930,04071
001931,04071
001932,04071
001933,04072
001934,04071
001935,04074
001936,04071
001937,04073
001938,04066
001939,04070
001940,04071
001941,04073
001942,04073
001943,04073
001944,04069
001945,04074
001946,04072
001947,04070
001948,04070
001949,04069
001950,04070
